time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.0051998576410233e-07,-6.313302699711543e-08,10.00332332826934,6.283086166260205,0.00020040179288294269,0.0,-1.7812084468352755e-05,-7.00849522209786e-06,0.11077253384180077,-0.0051809975528227335,0.00929977313873979,0.0,441.288450454141,442.05524968437237,439.14796581129036,438.7181127936567
0.12000000000000001,-8.030955442066787e-06,-3.993950924410613e-06,10.01462403496169,6.282401895391409,0.0007394531643205582,0.0,-0.000303637650883554,-0.00017392313186440436,0.2658935543584521,-0.02830861160593976,0.008345424001886783,0.0,453.1225720463588,453.04573573017717,455.9923906759228,454.14150284569223
0.18,-4.34098147261111e-05,-3.723687493884059e-05,10.033651723825686,6.280636638941303,0.0010277928263473513,0.0,-0.0009172068113851523,-0.001111339599839577,0.3683343509621966,-0.031743529040897146,-0.003429722398192267,0.0,438.33853245304687,437.35899545579264,437.82265950214185,437.53655060708076
0.23999999999999996,-0.00012088130834993864,-0.00016844193799671876,10.06056715718516,6.279238780301078,0.0010086278184431308,0.0,-0.001653334194728806,-0.0034409396764145703,0.5287851044262732,-0.010255470714951946,0.005270830605559346,0.0,454.68348600043356,455.3798914735423,455.79920331905754,457.51289001240355
0.3,-0.00024704532616272144,-0.0004763890715732235,10.099769598600531,6.279024083139003,0.0014528090999439414,0.0,-0.0025995444567786493,-0.006871750833232294,0.7778264650108847,0.0072291492652253216,0.011358686285731664,0.0,481.6354146814869,482.0954447496645,481.88211314539,483.20187779497536
0.36000000000000004,-0.0004398088723251225,-0.0009827442641079274,10.151892100312883,6.279691156385411,0.0023919201835989057,0.0,-0.003919446938925771,-0.009942326758841094,0.959455299833736,0.017939436276610037,0.023090833090720984,0.0,462.26874483332165,463.1920901426419,462.2768643685761,463.1198167254331
0.4200000000000001,-0.00073238092198236,-0.00164950581596642,10.213489050248922,6.28159871822899,0.0037329021763765624,0.0,-0.005978637467338574,-0.012113427072250585,1.0936573600562096,0.050604130125814675,0.02082480345413671,0.0,448.09063049766894,447.906423512291,447.80062830121483,450.44992032941707
0.48000000000000015,-0.0011908244919471495,-0.0024013895107580095,10.286269220856132,0.001730852647840564,0.00577814853304659,0.0,-0.009513736658335272,-0.012558361960041061,1.3321007268129057,0.063314274005311,0.05233486218553278,0.0,478.31633885888755,480.71009713603024,480.0292400832498,480.9944418355235
0.5400000000000001,-0.0019033479144356853,-0.0030997678788730154,10.370832325196607,0.006147362315918947,0.008635442948112804,0.0,-0.014568294383179269,-0.010263444481373611,1.486477738551446,0.0887824343315559,0.03596559039499844,0.0,455.7941154933787,454.4854217526641,454.99851874026496,457.0365996446136
0.6000000000000002,-0.0029813006264311,-0.003553848440555492,10.464912527645403,0.012097944202372979,0.010348642412676412,0.0,-0.021584948318631288,-0.004240557360228528,1.6493012308023363,0.11445755097485635,0.006492804284295351,0.0,459.8322450628691,457.4919220806409,457.4429471615532,459.4905866376638
0.6600000000000003,-0.004551810566607219,-0.003454383465126187,10.572644234246582,0.01934495496861821,0.010399788821492173,0.0,-0.030793986230901984,0.008473209801457871,1.9412935053854015,0.13111297186318555,-0.013892116701964299,0.0,497.7289160610786,496.2349158937326,495.72715205997815,496.96074425140193
0.7200000000000003,-0.006600132654826979,-0.0025384670574809605,10.691036907280376,0.02755104745297121,0.009673671564696562,0.0,-0.037407176684319816,0.022833353297590772,2.005002683724503,0.14617648084296012,-0.008742666387081738,0.0,428.0537637041311,428.4918402989786,429.106847394916,430.40143500545696
0.7800000000000004,-0.009049954707587361,-0.0005436773960309611,10.815093461020817,0.03609167638474364,0.009350321686645735,0.0,-0.04420739418255902,0.044569250008836755,2.129963295718082,0.13330871253909388,0.0005919764081345311,0.0,447.9510278150517,448.7095145996262,449.6448088933585,448.6197618519304
0.8400000000000004,-0.011933450737865616,0.003056307491818457,10.949858542488156,0.04428663588848991,0.009720983968625418,0.0,-0.05193189613479198,0.07639767303462003,2.3617171774768826,0.14243037749844994,0.015498052280449391,0.0,480.80740158844446,481.93524444501213,480.79679800075155,481.50298455012836
0.9000000000000005,-0.015259985373247338,0.008616981356774281,11.095175063795134,0.053232238124587106,0.010501369285402795,0.0,-0.05904052630309366,0.10986703384308207,2.481866787999128,0.15987043251033486,0.007488690527831802,0.0,449.78095907459834,449.1317345849132,447.49703080371626,448.9347957352068
0.9600000000000005,-0.019029105105227328,0.016385335599676643,11.247790190125727,0.06297575645768205,0.010473286027396611,0.0,-0.06662569520442625,0.15008232824755632,2.6049695932777537,0.16700448952458766,-0.02539181111354723,0.0,451.358465873433,448.69709378481843,450.4814998831373,451.0826351919068
1.0200000000000005,-0.02324443070801661,0.02677565126308332,11.40775366485365,0.07240184195937882,0.008848929425733232,0.0,-0.07371667886903427,0.19729114014389398,2.726789420896615,0.11334497903089978,-0.030665446793013175,0.0,451.0680935008617,450.6418538395769,452.75839327733655,448.4413784354404
1.0800000000000005,-0.027862987754838708,0.040300550484215394,11.57656889472107,0.07928851937421832,0.007310450299660154,0.0,-0.08004241712522854,0.25427900661835334,2.8998968107403806,0.1174976413616472,-0.01712268583907544,0.0,466.5126268833016,467.56876188238704,466.95194543599126,467.2868197624611
1.1400000000000006,-0.032824932047217606,0.05735969184416186,11.755206382135174,0.08711914491106132,0.006188375770812549,0.0,-0.08523457971006011,0.31515277037766254,3.0542075153127675,0.14850319321370048,-0.022061373570617833,0.0,462.145579356101,461.756208866887,461.70943979379246,464.16343417326135
